Time,Parameter 1,Parameter 2,Parameter 3
2025-06-19 07:30:00,37.05,58.64,6.88
2025-06-19 07:45:00,37.01,60.15,6.88
2025-06-19 08:00:00,36.97,60.07,6.88
2025-06-19 08:15:00,37.09,59.42,6.88
2025-06-19 08:30:00,37.04,58.98,6.88
2025-06-19 08:45:00,37.01,59.98,6.88
2025-06-19 09:00:00,37.08,60.87,6.88
2025-06-19 09:15:00,36.99,59.48,6.88
2025-06-19 09:30:00,37.00,60.65,6.88
2025-06-19 09:45:00,37.03,59.94,6.88
2025-06-19 10:00:00,36.94,59.58,6.88
2025-06-19 10:15:00,37.02,60.57,6.88
2025-06-19 10:30:00,37.11,59.77,6.88
2025-06-19 10:45:00,37.11,60.31,6.88
2025-06-19 11:00:00,36.92,59.72,6.88
2025-06-19 11:15:00,37.01,60.02,6.88
2025-06-19 11:30:00,37.07,60.08,6.87
2025-06-19 11:45:00,37.09,59.87,6.87
2025-06-19 12:00:00,36.95,59.71,6.87
2025-06-19 12:15:00,37.01,59.66,6.87
2025-06-19 12:30:00,37.04,59.39,6.87
2025-06-19 12:45:00,37.04,60.57,6.87
2025-06-19 13:00:00,37.00,59.11,6.87
2025-06-19 13:15:00,36.86,61.27,6.87
2025-06-19 13:30:00,36.99,59.87,6.87
2025-06-19 13:45:00,36.93,59.49,6.87
2025-06-19 14:00:00,36.97,60.07,6.87
2025-06-19 14:15:00,37.02,59.65,6.87
2025-06-19 14:30:00,37.00,59.56,6.87
2025-06-19 14:45:00,36.98,60.51,6.87
2025-06-19 15:00:00,37.13,59.99,6.87
2025-06-19 15:15:00,37.00,60.04,6.87
2025-06-19 15:30:00,36.99,60.08,6.87
2025-06-19 15:45:00,36.95,60.21,6.87
2025-06-19 16:00:00,36.94,59.67,6.87
2025-06-19 16:15:00,36.98,60.12,6.88
2025-06-19 16:30:00,36.94,59.86,6.88
2025-06-19 16:45:00,36.98,59.71,6.88
2025-06-19 17:00:00,37.02,59.99,6.88
