"","A201-BCP001-BIO0001-TT00026.BIO-BIO-TEM-CTR","A201-BCP001-BIO0001-AIT0024.BIO-DOX-DOX-CTR","A201-BCP001-BIO0001-AIT0022.BIO-PH1-PHZ-CTR",""
"Time","Value | First","Value | First","Value | First",""
"6/19/2025 12:15:00 AM","37.01","57.35","6.88",""
"6/19/2025 12:30:00 AM","37.00","59.70","6.88",""
"6/19/2025 12:45:00 AM","37.04","62.60","6.88",""
"6/19/2025 1:00:00 AM","37.03","56.51","6.88",""
"6/19/2025 1:15:00 AM","36.98","56.85","6.88",""
"6/19/2025 1:30:00 AM","36.97","57.67","6.88",""
"6/19/2025 1:45:00 AM","37.00","60.25","6.88",""
"6/19/2025 2:00:00 AM","37.01","61.68","6.88",""
"6/19/2025 2:15:00 AM","36.92","62.53","6.88",""
"6/19/2025 2:30:00 AM","36.99","61.89","6.88",""
"6/19/2025 2:45:00 AM","37.04","63.01","6.88",""
"6/19/2025 3:00:00 AM","36.96","62.33","6.88",""
"6/19/2025 3:15:00 AM","36.95","60.05","6.88",""
"6/19/2025 3:30:00 AM","37.03","57.61","6.88",""
"6/19/2025 3:45:00 AM","36.97","56.75","6.88",""
"6/19/2025 4:00:00 AM","37.04","58.88","6.89",""
"6/19/2025 4:15:00 AM","36.94","58.79","6.89",""
"6/19/2025 4:30:00 AM","37.02","60.56","6.89",""
"6/19/2025 4:45:00 AM","37.05","61.43","6.89",""
"6/19/2025 5:00:00 AM","37.03","61.06","6.89",""
"6/19/2025 5:15:00 AM","36.99","61.31","6.89",""
"6/19/2025 5:30:00 AM","36.94","60.97","6.89",""
"6/19/2025 5:45:00 AM","36.97","60.72","6.89",""
"6/19/2025 6:00:00 AM","36.91","59.90","6.89",""
"6/19/2025 6:15:00 AM","37.01","58.71","6.89",""
"6/19/2025 6:30:00 AM","37.00","59.29","6.89",""
"6/19/2025 6:45:00 AM","37.06","61.76","6.89",""
"6/19/2025 7:00:00 AM","37.03","58.98","6.89",""
"6/19/2025 7:15:00 AM","36.99","61.39","6.88",""
"6/19/2025 7:30:00 AM","37.05","58.64","6.88",""
"6/19/2025 7:45:00 AM","37.01","60.15","6.88",""
"6/19/2025 8:00:00 AM","36.97","60.07","6.88",""
"6/19/2025 8:15:00 AM","37.09","59.42","6.88",""
"6/19/2025 8:30:00 AM","37.04","58.98","6.88",""
"6/19/2025 8:45:00 AM","37.01","59.98","6.88",""
"6/19/2025 9:00:00 AM","37.08","60.87","6.88",""
"6/19/2025 9:15:00 AM","36.99","59.48","6.88",""
"6/19/2025 9:30:00 AM","37.00","60.65","6.88",""
"6/19/2025 9:45:00 AM","37.03","59.94","6.88",""
"6/19/2025 10:00:00 AM","36.94","59.58","6.88",""
"6/19/2025 10:15:00 AM","37.02","60.57","6.88",""
"6/19/2025 10:30:00 AM","37.11","59.77","6.88",""
"6/19/2025 10:45:00 AM","37.11","60.31","6.88",""
"6/19/2025 11:00:00 AM","36.92","59.72","6.88",""
"6/19/2025 11:15:00 AM","37.01","60.02","6.88",""
"6/19/2025 11:30:00 AM","37.07","60.08","6.87",""
"6/19/2025 11:45:00 AM","37.09","59.87","6.87",""
"6/19/2025 12:00:00 PM","36.95","59.71","6.87",""
"6/19/2025 12:15:00 PM","37.01","59.66","6.87",""
"6/19/2025 12:30:00 PM","37.04","59.39","6.87",""
"6/19/2025 12:45:00 PM","37.04","60.57","6.87",""
"6/19/2025 1:00:00 PM","37.00","59.11","6.87",""
"6/19/2025 1:15:00 PM","36.86","61.27","6.87",""
"6/19/2025 1:30:00 PM","36.99","59.87","6.87",""
"6/19/2025 1:45:00 PM","36.93","59.49","6.87",""
"6/19/2025 2:00:00 PM","36.97","60.07","6.87",""
"6/19/2025 2:15:00 PM","37.02","59.65","6.87",""
"6/19/2025 2:30:00 PM","37.00","59.56","6.87",""
"6/19/2025 2:45:00 PM","36.98","60.51","6.87",""
"6/19/2025 3:00:00 PM","37.13","59.99","6.87",""
"6/19/2025 3:15:00 PM","37.00","60.04","6.87",""
"6/19/2025 3:30:00 PM","36.99","60.08","6.87",""
"6/19/2025 3:45:00 PM","36.95","60.21","6.87",""
"6/19/2025 4:00:00 PM","36.94","59.67","6.87",""
"6/19/2025 4:15:00 PM","36.98","60.12","6.88",""
"6/19/2025 4:30:00 PM","36.94","59.86","6.88",""
"6/19/2025 4:45:00 PM","36.98","59.71","6.88",""
"6/19/2025 5:00:00 PM","37.02","59.99","6.88",""
"6/19/2025 5:15:00 PM","36.99","59.56","6.88",""
"6/19/2025 5:30:00 PM","37.02","59.61","6.88",""
"6/19/2025 5:45:00 PM","37.03","60.17","6.88",""
"6/19/2025 6:00:00 PM","37.03","60.44","6.88",""
"6/19/2025 6:15:00 PM","36.98","59.85","6.88",""
"6/19/2025 6:30:00 PM","37.00","60.10","6.88",""
"6/19/2025 6:45:00 PM","37.03","60.03","6.88",""
"6/19/2025 7:00:00 PM","37.10","60.45","6.88",""
"6/19/2025 7:15:00 PM","36.91","59.81","6.88",""
"6/19/2025 7:30:00 PM","37.03","60.35","6.88",""
"6/19/2025 7:45:00 PM","37.04","60.49","6.88",""
"6/19/2025 8:00:00 PM","36.99","59.78","6.88",""
"6/19/2025 8:15:00 PM","36.99","59.48","6.88",""
"6/19/2025 8:30:00 PM","37.05","60.03","6.88",""
"6/19/2025 8:45:00 PM","36.96","60.06","6.88",""
